trip_id,status,location,cx,cy,ux,uy
15362,on_link,upward-Greater Kailash-upward-Chirag Delhi,77.2364714,28.5417146,-0.008858000000003585,-0.0006069999999986919
15363,on_link,upward-Okhla NSIC-upward-Kalkaji Mandir,77.2636538,28.5535664,-0.006081000000008885,-0.005043000000000575
15364,on_link,upward-Okhla Vihar-upward-Jamia Millia Islamia,77.2907746,28.5615928,-0.005707000000001017,0.001689000000002494
15365,on_link,upward-Kalindi Kunj-upward-Jasola Vihar Shaheen Bagh,77.3074814,28.543469,-0.01345799999999997,0.0031700000000007833
15366,on_link,upward-Botanical Garden-upward-Okhla Bird Sanctuary,77.33203759999999,28.5619216,-0.013092000000000326,-0.011382000000001113
